id,sprint,sprint_number,name,description,deliverable_type,priority,assigned_to,assignee_short,start_date,due_date,scheduled_month,status,is_monthly_report,is_heavy_batch,is_strategy,is_placeholder,auto_tracked,content_subtype,link_subtype,tags,category,action_type,urls
,Sprint 1 (Kickoff),1,WQA — Website Quality Audit,"Strategic audit of the website covering technical SEO, content quality, and link foundation.
  · Run Screaming Frog crawl + Ahrefs site explorer pull
  · Classify every page (Keep / Improve / Consolidate / Remove)
  · Tag specific actions per page (Fix 404 / Rewrite / etc.)
  · Capture target pages + their backlink gaps
  · Strategist approval pass on every recommendation
Two outputs (same work stream):
  1. {slug}-wqa-data.xlsx — audit spreadsheet (4 tabs)
  2. {slug}-wqa-report.html — client-facing HTML deck (5 sections)
Auto-completes when BOTH the approvals JSON + HTML report exist on disk.",Kickoff,P1,dame@smileandgrow.com.au,dame,2026-08-17,2026-08-28,1,pending,False,False,False,False,True,,,"auto-tracked, kickoff, p1",Kickoff,WQA,
,Sprint 1 (Kickoff),1,Project Plan (12-month engagement),"Build the structured project plan from the WQA approvals + target pages. Generates sprints + monthly deliverable schedule for the full engagement.
  · Sprints 2-6 (Technical / Local / Content / Links / Reporting)
  · Monthly batches + client check-ins
  · Per-deliverable owners, due dates, priorities
Output: {slug}-project-plan.json (exportable to ClickUp/Asana/Monday via export_project_plan.py). Auto-completed by build_project_plan.py.",Kickoff,P1,eoliquiano@smileandgrow.com.au,eoliquiano,2026-08-28,2026-08-29,1,completed,False,False,False,False,True,,,"auto-tracked, kickoff, p1",Kickoff,Project Plan,
,Sprint 2 (Technical),2,Noindex — 3 URLs,"Technical action: Noindex
URLs (3):
    1. [P2] /category/cosmetic-dentistry — WP auto-generated archive/feed page with no meaningful content. Add noindex to remove from crawl waste.
    2. [P2] /category/dental-care — WP auto-generated archive/feed page with no meaningful content. Add noindex to remove from crawl waste.
    3. [P2] /tag/tmd — WP auto-generated archive/feed page with no meaningful content. Add noindex to remove from crawl waste.",Technical,P2,dame@smileandgrow.com.au,dame,2026-08-28,2026-08-31,1,pending,False,False,False,False,False,,,"p2, technical",Technical,Noindex,https://beaconcovedental.com.au/category/cosmetic-dentistry; https://beaconcovedental.com.au/category/dental-care; https://beaconcovedental.com.au/tag/tmd
,Sprint 2 (Technical),2,Add schema — 2 URLs,"Technical action: Add schema
URLs (2):
    1. [P1] / — Enforce www -> non-www canonicalisation. GSC shows www.beaconcovedental.com.au URLs still indexed and earning impression
    2. [P2] /delaying-dental-treatment-consequences-port-melbourne — Update content to improve topical relevance, keyword optimization, headings, readability, and search intent.",Technical,P1,dame@smileandgrow.com.au,dame,2026-08-28,2026-08-31,1,pending,False,False,False,False,False,,,"p1, technical",Technical,Add schema,https://beaconcovedental.com.au/; https://beaconcovedental.com.au/delaying-dental-treatment-consequences-port-melbourne
,Sprint 3 (Local SEO),3,Local SEO Audit (workbook),"Full Local SEO + GEO audit via /bpt-local-seo-audit — one workbook:
  · NAP Info (all verified locations)
  · Competitive research + baseline (Maps pack, competitors)
  · Keyword Performance (volume + organic + Maps rank)
  · GBP Optimization change-set + Products + practice-area graphics
  · Aggregator Optimization set + Citations tracker
Basis for every execution deliverable below.",Local,P2,dame@smileandgrow.com.au,dame,2026-09-01,2026-09-08,2,pending,False,False,False,False,False,,,"local, p2",Local,Local SEO process step,
,Sprint 3 (Local SEO),3,Update GBP listings (all locations),"MANUAL — apply the GBP Optimization change-set per office:
  · Localized keyword+GEO descriptions, primary/secondary categories
  · Services, attributes, hours, service areas
  · FIX: true local NAP phone (not CallRail tracking), localized Posts
Apply in business.google.com from the Local SEO Audit workbook.",Local,P2,dame@smileandgrow.com.au,dame,2026-09-01,2026-09-08,2,pending,False,False,False,False,False,,,"local, p2",Local,Local SEO process step (manual execution),
,Sprint 3 (Local SEO),3,GBP Products + practice-area graphics,"MANUAL — add GBP Products (one per practice area, full descriptions) and
upload the branded practice-area graphics + office/team photos per office.
Source: Products (GBP) tab + gbp-images/ in the Local SEO Audit workbook.",Local,P2,dame@smileandgrow.com.au,dame,2026-09-01,2026-09-08,2,pending,False,False,False,False,False,,,"local, p2",Local,Local SEO process step (manual execution),
,Sprint 3 (Local SEO),3,Aggregator profile optimization,"MANUAL — claim + build out the niche-aligned aggregator profiles
(universal core: Apple, Bing, Yelp, BBB, Facebook, LinkedIn, etc. + vertical add-ons).
Fix any NAP mismatches on live profiles; load description/services/photos/links.
Source: Aggregator Optimization tab. Recommend Loganix if outsourcing.",Local,P2,dame@smileandgrow.com.au,dame,2026-09-01,2026-09-08,2,pending,False,False,False,False,False,,,"local, p2",Local,Local SEO process step (manual execution),
,Sprint 3 (Local SEO),3,Citation cleanup + building,"MANUAL — work the full Citations tracker (fix-first → claim Tier-1 free →
data aggregators (Data Axle/Neustar/Foursquare) → build the rest), NAP identical everywhere.
Track status per directory. Recommend Loganix / WhiteSpark for the volume.",Local,P2,dame@smileandgrow.com.au,dame,2026-09-01,2026-09-08,2,pending,False,False,False,False,False,,,"local, p2",Local,Local SEO process step (manual execution),
,Sprint 3 (Local SEO),3,Review generation + response system,"MANUAL — stand up the review engine:
  · NPS/review automation (happy → public Google review, unhappy → private feedback)
  · Compliant SMS/messaging registration; human-reviewed response templates
  · Ongoing weekly review monitoring + responses",Local,P2,dame@smileandgrow.com.au,dame,2026-09-01,2026-09-08,2,pending,False,False,False,False,False,,,"local, p2",Local,Local SEO process step (manual execution),
